No Citations,paper file name
2,DAC-2004-10(07)-0618.PDF
10,DAC-2004-10(09)-0834.PDF
0,DAC-2004-10(09)-0820.PDF
1,DAC-2004-10(06)-0492.PDF
6,DAC-2004-10(06)-0478.PDF
3,DAC-2004-10(08)-0711.PDF
1,DAC-2004-10(08)-0705.PDF
2,DAC-2004-10(06)-0524.PDF
12,DAC-2004-10(06)-0530.PDF
10,DAC-2004-10(06)-0518.PDF
0,DAC-2004-10(07)-0633.PDF
0,DAC-2004-10(10)-0940.PDF
6,DAC-2004-10(10)-0954.PDF
0,DAC-2004-10(07)-0592.PDF
0,DAC-2004-10(08)-0698.PDF
0,DAC-2004-10(08)-0673.PDF
0,DAC-2004-10(06)-0484.PDF
0,DAC-2004-10(08)-0699.PDF
0,DAC-2004-10(07)-0622.PDF